postalcode,placename,latitude,longitude ,accuracy
110009,H.S.Sangh,28.7121,77.206,3
110009,Nirankari Colony,28.7121,77.206,4
110009,Model Town Ii,28.7121,77.206,3
110009,G.T.B.Nagar,28.7121,77.206,3
110009,Model Town Iii,28.7121,77.206,3
110009,Dr.Mukerjee Nagar,28.7121,77.206,3
110009,Gujranwala Colony,28.7121,77.206,3
110035,Rampura,28.6772,77.1573,4
110035,Power House,28.6772,77.1573,3
110035,Sarai Rohilla,28.6772,77.1573,3
110035,Onkar Nagar,28.6772,77.1573,3
110035,Keshav Puram (North West Delhi),28.6772,77.1573,3
110035,Ganeshpura,28.6772,77.1573,3
110036,Kadipur,28.774,77.1631,4
110036,Hiranki,28.7991,77.182,4
110036,Palla,28.842,77.187,4
110036,Khampur,28.8243,77.1342,4
110036,Bakoli,28.8127,77.1616,3
110036,Tajpur Kalan,28.8381,77.17,4
110036,Bakhtawar Pur,28.8127,77.1616,3
110036,Alipur,28.7986,77.1331,4
110036,Mukhmelpur,28.8127,77.1616,3
110036,Nangal Poona,28.8127,77.1616,3
110039,Auchandi,28.8203,76.9962,4
110039,Barwala,28.7613,77.0628,4
110039,Pooth Khurd,28.805,77.0309,3
110039,Ghoga,28.8311,77.05,4
110039,Daryapur Kalan,28.814,77.0111,4
110039,Jat Khore,28.805,77.0309,3
110039,Bawana,28.7982,77.0343,4
110039,Hareveli,28.805,77.0309,3
110039,Katewara,28.805,77.0309,3
110039,Nangal Thakran,28.805,77.0309,3
110039,Mungeshpur,28.805,77.0309,3
110039,Qutabagarh,28.805,77.0309,3
110040,Lampur,28.8509,77.0659,4
110040,Bhorgarh,28.8293,77.0952,4
110040,Bankner,28.8525,77.0787,4
110040,Kanya Gurukul,28.8408,77.0939,3
110040,Sanoth,28.8138,77.0739,4
110040,Narela,28.8527,77.0929,4
110040,Singhu,28.8512,77.1311,4
110040,Tikri Khurd,28.8354,77.1195,4
110042,Siraspur,28.7581,77.1309,4
110042,Pehlad Pur,28.7581,77.1309,3
110042,Badli (North West Delhi),28.7581,77.1309,3
110042,Samai Pur,28.7581,77.1309,3
110042,Delhi Engg. College,28.7581,77.1309,3
110042,Shahbad Daulatpur,28.7581,77.1309,3
110081,Rani Khera,28.706,77.0258,4
110081,Karala,28.7355,77.0352,4
110081,Majra Dabas,28.7299,76.9929,3
110081,Punjab Khor,28.7759,76.9649,4
110081,Gheora,28.6941,77.0016,4
110081,Nizampur,28.7178,76.9597,4
110081,Jaunti,28.7502,76.9699,4
110081,Chand Pur,28.7299,76.9929,3
110081,Mubarak Pur Dabas,28.7299,76.9929,3
110081,Kanjhawla,28.7299,76.9929,3
110081,Lad Pur,28.7299,76.9929,3
110082,Khera Kalan,28.7745,77.1172,4
110082,Naya Bans,28.7848,77.1046,3
110082,Holambi Kalan,28.8044,77.0969,4
110082,Khera Khurd,28.7755,77.0997,4
110085,Rithala,28.7201,77.1027,4
110085,Rohini Sec-11,28.7201,77.1027,3
110085,Naharpur,28.7201,77.1027,3
110085,Rohini Sector 5,28.7201,77.1027,3
110085,Rohini Courts,28.7201,77.1027,3
110085,Rohini Sector-7,28.7201,77.1027,3
110085,Prashant Vihar,28.7201,77.1027,3
110088,Shalimar Bagh (North West Delhi),28.7219,77.15899999999999,3
110088,Haiderpur,28.7219,77.15899999999999,3
110088,Shalamar,28.7219,77.15899999999999,4
110007,Malka Ganj,28.6764,77.2074,4
110007,Rana Pratap Bagh,28.6764,77.2074,3
110007,Gulabi Bagh,28.6764,77.2074,3
110007,Kamla Nagar (North Delhi),28.6764,77.2074,3
110007,Padam Nagar (North Delhi),28.6764,77.2074,3
110007,C.C.I.,28.6764,77.2074,3
110007,Delhi University,28.6764,77.2074,3
110007,Jawahar Nagar (North Delhi),28.6764,77.2074,3
110007,Shakti Nagar (North Delhi),28.6764,77.2074,3
110007,Roshan Ara Road,28.6764,77.2074,3
110007,Roop Nagar,28.6764,77.2074,3
110007,R.C.A.O.,28.6764,77.2074,3
110054,Aruna Nagar,28.6921,77.2245,3
110054,Timarpur,28.7038,77.2227,4
110054,Civil Lines (North Delhi),28.6804,77.2263,4
110054,District Courts (North Delhi),28.6921,77.2245,3
110054,Patrachar Vidyalay,28.6921,77.2245,3
110054,Majnu Ka Tila,28.6921,77.2245,3
110084,Burari,28.7557,77.1994,4
110084,Jagatpur,28.7414,77.2199,4
110084,Wazirabad Village,28.7486,77.2096,3
110084,Jharoda Majraa,28.7486,77.2096,3
110085,Avantika,28.7201,77.1027,3
110032,Babarpur (North East Delhi),28.6875,77.2856,4
